7675|75281|19109|2016-09-20|150299|1700896|rent
913|81668|4403|2020-09-30||9195626|sale
5041|10643|13637|2019-12-06||9502533|sale
1647|28491|4365|2020-02-23|150300|9875985|sale
6036|68986|22938|2021-05-22||8174926|rent
381|30148|3721|2016-04-21||2187962|sale
1352|58607|19747|2018-08-23||4699109|sale
6474|35554|3513|2018-12-19||1696130|sale
398|11374|23409|2017-11-23||1001755|sale
6514|30252|19662|2019-11-18||5255975|rent
6754|96799|21050|2019-01-21|150301|6081980|sale
8672|90830|3579|2018-11-22|150302|4527905|sale
3207|15406|18220|2019-01-17||878729|rent
336|31842|18891|2021-02-10||6667045|rent
3840|22227|24545|2021-10-07||8134451|rent
3780|46722|15380|2019-10-22||7188975|sale
8212|46071|13132|2020-11-03||243978|rent
4823|98655|13102|2021-03-01||482773|rent
2984|7670|16047|2018-09-14||2829978|rent
629|66037|18974|2016-07-08||2075893|sale
891|98597|10522|2021-11-07||4918407|rent
6978|24399|12956|2020-02-28||4884405|rent
8616|6677|674|2020-11-05|150303|5696409|rent
4339|82264|10864|2021-07-01||2701431|rent
1253|87961|16617|2020-10-03||6126049|rent
1229|29995|20489|2017-09-12|150304|8373456|rent
8306|65549|23989|2018-02-15||6645250|rent
7395|14136|18354|2018-12-03||2384185|rent
9236|80863|12597|2018-05-09||7720311|rent
207|99046|20529|2019-12-07||5357533|sale
9128|13891|5530|2021-08-10||4744199|sale
1484|53432|12630|2019-07-21||5109117|rent
2439|77714|22476|2021-12-02||4147892|sale
1869|35594|21303|2020-02-27||6335726|rent
1163|63541|2419|2016-11-22|150305|8321722|rent
7791|52703|24444|2019-12-19||7499449|rent
2668|76174|8134|2020-01-28||310542|rent
4082|8301|24389|2018-08-24||9247004|sale
4425|99858|4229|2020-12-14||1845995|sale
7016|91113|18836|2019-07-14||1746019|rent
4626|1670|1683|2018-11-06|150306|7745100|rent
8809|72185|18697|2018-06-14|150307|2962677|rent
5607|57196|20870|2016-02-23||5143636|sale
9607|85379|10065|2020-08-28||6510744|sale
1054|74788|13773|2015-03-18||1605159|sale
2229|3452|19266|2015-12-09||2381155|rent
8460|74077|13609|2019-08-19||7799207|rent
4917|85049|6388|2018-08-25||4623549|sale
9914|31684|17267|2020-04-10||2490531|sale
5632|64637|19924|2020-08-30||7745123|rent
5376|48098|23813|2020-04-15||5038789|sale
746|80857|16768|2020-05-30||9792812|sale
406|13879|13423|2021-09-03|150308|5855246|sale
4956|78784|9568|2020-10-02||4102870|sale
2159|81078|11456|2021-04-23||3433327|rent
2791|85209|6063|2018-04-22||4888414|sale
7398|97337|16165|2017-12-01||6801036|sale
2778|7294|5300|2018-01-01||4151283|sale
1372|42730|8364|2021-02-15||5267364|sale
4310|61791|21535|2019-09-24||4461399|sale
5827|15116|417|2021-05-04||6090659|rent
2375|31739|9887|2019-10-26||7919973|sale
6325|59150|5422|2021-04-11||7399854|rent
4974|55736|18775|2020-09-14||5442014|sale
9334|64939|12497|2019-06-04||6308518|sale
4989|40856|3887|2019-07-09||5710546|rent
7677|94467|3280|2019-08-05||2525743|rent
1845|98307|13019|2020-12-02||4966924|rent
5971|82021|12604|2021-06-23|150309|9098370|rent
3096|68718|7652|2019-06-29||8235600|rent
8329|62826|9377|2020-11-24||3407178|sale
1575|29009|10304|2018-12-13||5069231|rent
4164|96433|14809|2021-03-05||6280295|sale
1101|57475|11261|2018-11-16||6376708|rent
2025|12205|10642|2021-06-02||2123061|sale
7350|57615|618|2019-12-12||2630979|sale
3092|7421|4942|2017-10-23||6909182|rent
2368|43723|6489|2020-04-18||6000598|sale
4051|77948|2880|2021-12-05|150310|1212709|rent
6980|21770|20516|2017-07-02|150311|1206455|sale
6299|3280|6129|2018-07-05||4818473|rent
1723|43179|1085|2021-11-21||6118230|sale
1401|6275|10699|2018-05-20||8297146|rent
9338|11748|5137|2017-09-01||1871481|sale
7279|8732|6908|2020-12-05||8369563|sale
2744|10725|3560|2020-02-12||431967|sale
4791|88083|19467|2019-07-21||2192599|sale
1688|61822|22314|2018-08-17|150312|960006|sale
4555|30362|23832|2018-01-25||2878259|sale
5757|58801|14856|2020-08-03||8075157|sale
4337|55363|768|2019-01-10|150313|5641503|rent
3119|15385|21650|2021-04-11||9504319|rent
1587|99329|3048|2021-02-21||1540221|sale
429|46162|14066|2019-07-26||9603851|rent
6833|80828|10048|2021-07-26||228597|rent
5333|74874|13261|2018-02-17||4183162|rent
6471|64778|23634|2020-12-17||6513805|rent
9752|25550|17868|2019-12-14||4949641|sale
9946|82472|3436|2021-01-18||1636966|rent
4703|75346|12057|2020-05-25||1813619|rent
